innings,over,Bowlername,Batsmanname,runs,wicket,description,nh/h,wickettype,wickethelper,extras,ballspeed(kph)
1,0.1,JO Holder,RG Sharma,0,false,length ball  test match length. Rohit frees his arms to punch off the back foot  and Hetmyer's diving effort stops the ball at point,non-home run,no wicket,no wicket,no extra,126.131
1,0.2,JO Holder,RG Sharma,0,false,good length outside off again. Rohit gets his front foot forward  and then shoulders his arms on this occasion,non-home run,no wicket,no wicket,no extra,124.579
1,0.3,JO Holder,RG Sharma,0,false,back of a length outside off  but angling into Rohit. He stays on the back foot  and defends with the horizontal bat,non-home run,no wicket,no wicket,no extra,127.109
1,0.4,JO Holder,RG Sharma,4,false,heavy ball  full on leg stump  and flicked into the fine-leg boundary! Fielder in the deep is too square,home run,no wicket,no wicket,no extra,126.902
1,0.5,JO Holder,RG Sharma,0,false,full outside off stump. Whizzing straight into the keeper's gloves,non-home run,no wicket,no wicket,no extra,125.493
1,0.6,JO Holder,RG Sharma,0,false,length ball outside off  but tailing in after hitting the deck. Rohit covers his off stump  and shoulders his arms,non-home run,no wicket,no wicket,no extra,120.870
1,1.1,KAJ Roach,S Dhawan,0,false,back of a length outside off  and defended with soft hands off the back foot. The ball rolls back to the bowler,non-home run,no wicket,no wicket,no extra,127.238
1,1.2,KAJ Roach,S Dhawan,0,false,fuller  outside off  and Dhawan leans forward to meet the ball in front of his eyes. Pushed to cover,non-home run,no wicket,no wicket,no extra,130.915
1,1.3,KAJ Roach,S Dhawan,0,false,back of a length outside off  and defended towards the leg side. Rohit wants the single  but Dhawan says 'no'. Good decision as Roach was running towards the ball on his followthrough,non-home run,no wicket,no wicket,no extra,132.583
1,1.4,KAJ Roach,S Dhawan,0,false,good length outside off again. Dhawan stays on the back foot  and steers a defensive shot to point,non-home run,no wicket,no wicket,no extra,134.020
1,1.5,KAJ Roach,S Dhawan,1,false,good length angling into his pads  and worked off his hips to square leg for a walking single,non-home run,no wicket,no wicket,no extra,134.623
1,1.6,KAJ Roach,RG Sharma,0,false,full from over the wicket  and Rohit lunges forward to tap the ball away to mid off. Sees the over out,non-home run,no wicket,no wicket,no extra,136.394
1,2.1,JO Holder,S Dhawan,0,false,length ball outside off  and Dhawan's happy to start slow. Stays on the back foot  and nudges to the off side,non-home run,no wicket,no wicket,no extra,134.375
1,2.2,JO Holder,S Dhawan,4,false,good length on off  and angling in. Dhawan has no trouble in swiveling and pulling along the ground to the square-leg boundary!,home run,no wicket,no wicket,no extra,126.890
1,2.3,JO Holder,S Dhawan,4,false,full on off  and once again coming into his pads. Flicked off the front foot to the midwicket boundary  where Hemraj chaperones the ball to the ropes from inside the circle,home run,no wicket,no wicket,no extra,128.889
1,2.4,JO Holder,S Dhawan,0,false,full just outside off  and defended off the front foot to cover,non-home run,no wicket,no wicket,no extra,125.888
1,2.5,JO Holder,S Dhawan,0,false,cramped for space with the short ball angling into his body. Defended off the back foot with soft hands,non-home run,no wicket,no wicket,no extra,120.799
1,2.6,JO Holder,S Dhawan,2,false,short outside off  and he picks the length early. Flat-batted right over mid on  but the ball stops near the boundary. Allows the fielder to pull it back. Expensive from Holder,non-home run,no wicket,no wicket,no extra,116.343
1,3.1,KAJ Roach,RG Sharma,0,true,cut straight to point! Length ball outside off  and he rides the bounce to cut. But he can't play it over the infield  and Hetmyer has no trouble pocketing that catch. Big wicket for West Indies,non-home run,caught,SO Hetmyer,no extra,132.824
1,3.2,KAJ Roach,V Kohli,0,false,full outside off stump  138kph  and left alone by Kohli,non-home run,no wicket,no wicket,no extra,138.399
1,3.3,KAJ Roach,V Kohli,0,false,full and wide outside off once again. Kohli walks towards the ball and then shoulders his arms,non-home run,no wicket,no wicket,no extra,135.399
1,3.4,KAJ Roach,V Kohli,4,false,full just outside off  and driven with the bat's open face. Finds the gap between point and backward point! Not the perfect shot  reaching for that delivery  but that's Kohli's class,home run,no wicket,no wicket,no extra,139.464
1,3.5,KAJ Roach,V Kohli,0,false,good length outside off stump  and zipping inwards. Kohli covers his stumps  and shoulders his arms. Flies right over off stump,non-home run,no wicket,no wicket,no extra,137.491
1,3.6,KAJ Roach,V Kohli,0,false,full and wide outside off. Roach wants Kohli to play away from his body  but he's not that easily tempted. Left alone,non-home run,no wicket,no wicket,no extra,132.388
1,4.1,JO Holder,S Dhawan,2,false,full on middle  and nudged off the back foot past short fine leg. Deep backward square runs across to intercept,non-home run,no wicket,no wicket,no extra,124.769
1,4.2,JO Holder,S Dhawan,0,false,good length outside off  from round the wicket. Defended off the back foot to point,non-home run,no wicket,no wicket,no extra,124.743
1,4.3,JO Holder,S Dhawan,4,false,edged past the keeper! Length ball coming into Dhawan's body  and he looks to fish outside his body. Pushes tentatively  and it takes a thick outside edge to the third-man boundary,home run,no wicket,no wicket,no extra,128.356
1,4.4,JO Holder,S Dhawan,0,false,back of a length outside off. Dhawan backs away  and taps this off the back foot to point one again,non-home run,no wicket,no wicket,no extra,128.794
1,4.5,JO Holder,S Dhawan,4,false,good length outside off  and crunched through the infield! Frees his arms  and slaps this through the point region,home run,no wicket,no wicket,no extra,124.716
1,4.6,JO Holder,S Dhawan,0,false,full on off stump  and Dhawan comes forward to defend the ball firmly towards the non-striker,non-home run,no wicket,no wicket,no extra,125.368
1,5.1,KAJ Roach,V Kohli,0,false,full outside off stump  and Kohli stretches towards the ball and pushes to point. Falls just short of point. Ooo,non-home run,no wicket,no wicket,no extra,136.490
1,5.2,KAJ Roach,V Kohli,0,false,length ball from outside off. Kohli offers his vertical bat and defends towards the off side,non-home run,no wicket,no wicket,no extra,137.403
1,5.3,KAJ Roach,V Kohli,0,false,full outside off stump  and he reaches forward to drive straight. But the bat turns in his hand  and it hits the inside of the blade. Rolls back to Roach,non-home run,no wicket,no wicket,no extra,135.589
1,5.4,KAJ Roach,V Kohli,1,false,good length outside off  but Kohli opens the bat's face and guides a shot past backward point. Man in the deep cleans up,non-home run,no wicket,no wicket,no extra,137.110
1,5.5,KAJ Roach,S Dhawan,0,false,full just outside off  and Dhawan pushes this straight back. Roach bends to his left  and gets his fingertips to the ball. But it doesn't roll onto the stumps despite Virat backing up,non-home run,no wicket,no wicket,no extra,133.907
1,5.6,KAJ Roach,S Dhawan,0,false,full on off  and tapped off the front foot to midwicket. Just shuffling across the stumps before playing that shot,non-home run,no wicket,no wicket,no extra,136.427
1,6.1,AR Nurse,V Kohli,0,false,tossed up on off  and driven with the spin to midwicket. Rovman Powell dives to intercept,non-home run,no wicket,no wicket,no extra,90.896
1,6.2,AR Nurse,V Kohli,0,false,overpitched outside off  and Kohli tries to play this fine. But the late cut goes to short third man,non-home run,no wicket,no wicket,no extra,87.310
1,6.3,AR Nurse,V Kohli,0,false,length ball on middle  and played with the turn off the back foot. Whipped to square leg,non-home run,no wicket,no wicket,no extra,90.299
1,6.4,AR Nurse,V Kohli,1,false,full on off  and flicked off the front foot to the leg side. Rolls away to backward square for a single,non-home run,no wicket,no wicket,no extra,88.942
1,6.5,AR Nurse,S Dhawan,0,false,Nurse round the wicket to Dhawan. Full outside off  and angling in. Defended off the back foot,non-home run,no wicket,no wicket,no extra,89.756
1,6.6,AR Nurse,S Dhawan,1,false,length ball outside off  and he rocks back to punch down to long off. They walk across for one. A tidy over from Nurse to begin his spell,non-home run,no wicket,no wicket,no extra,93.445
1,7.1,KAJ Roach,S Dhawan,0,false,good length on off  and nudged after shuffling across  to midwicket,non-home run,no wicket,no wicket,no extra,97.525
1,7.2,KAJ Roach,S Dhawan,6,false,the upar-cut! Short ball outside off  and he uncomfortably ramps it right over K Powell at third man. Not the best looking shot  but maximum reward earned,home run,no wicket,no wicket,no extra,
1,7.3,KAJ Roach,S Dhawan,0,false,good length outside off  and he looks to cut  but it's too close to his body. Comes off the bat's edge and rolls back to the bowler,non-home run,no wicket,no wicket,no extra,130.449
1,7.4,KAJ Roach,S Dhawan,0,false,full outside off  and caressed through the covers. But mid off races to his right and intercepts before it could beat the infield,non-home run,no wicket,no wicket,no extra,137.393
1,7.5,KAJ Roach,S Dhawan,1,false,full outside off  and the cover drive takes an inside edge! Misses the stumps and rolls away to short fine leg,non-home run,no wicket,no wicket,no extra,132.285
1,7.6,KAJ Roach,V Kohli,0,false,full outside off  and he takes a big stride forward to defend with the straight bat. Straight back to Roach,non-home run,no wicket,no wicket,no extra,136.308
1,8.1,AR Nurse,S Dhawan,0,false,full on middle  and turning away from Dhawan. He tentatively defends,non-home run,no wicket,no wicket,no extra,89.663
1,8.2,AR Nurse,S Dhawan,0,false,good length on off  and punched with the turn to short cover. Can't pinch the single,non-home run,no wicket,no wicket,no extra,90.571
1,8.3,AR Nurse,S Dhawan,1,false,full outside leg  and it whizzes through. Some exercise for the umpire,non-home run,no wicket,no wicket,wide,89.734
1,8.3,AR Nurse,S Dhawan,0,false,in the air but falls away from the keeper. Full on off  and Dhawan is early into his leg-side flick. Leading edge,non-home run,no wicket,no wicket,no extra,92.748
1,8.4,AR Nurse,S Dhawan,0,true,big appeal for lbw but not given. Full on middle  and skidding through as Dhawan misses the defense. Holder reviews. Replays say impact is on leg stump  and no touch of the bat. Aaaand the ball is hitting the top of leg stump! Dhawan is gone!,non-home run,leg before wicket,,no extra,
1,8.5,AR Nurse,AT Rayudu,1,false,length ball outside off  and turning inwards. Nudged to the leg side,non-home run,no wicket,no wicket,no extra,89.719
1,8.6,AR Nurse,V Kohli,0,false,full outside off  and he cuts straight to short third man,non-home run,no wicket,no wicket,no extra,90.081
1,9.1,KAJ Roach,AT Rayudu,1,false,back of a length outside off  and he rides the bounce to push towards point. Kohli's off straightaway for a single  even before Rayudu could realise that there was an opportunity for it,non-home run,no wicket,no wicket,no extra,134.520
1,9.2,KAJ Roach,V Kohli,4,false,lovely! Length ball outside off  and Kohli allows the ball to come to him  before slapping a shot through the cover region with the horizontal bat. Oh man  beautiful,home run,no wicket,no wicket,no extra,133.733
1,9.3,KAJ Roach,V Kohli,0,false,full outside off  and holding it's line after hitting the deck. Kohli looks to defend  but he's played this inside the line of the ball. Just past the outside edge to Hope,non-home run,no wicket,no wicket,no extra,138.883
1,9.4,KAJ Roach,V Kohli,2,false,full just outside off  and tapped past Roach's left to long off,non-home run,no wicket,no wicket,no extra,134.860
1,9.5,KAJ Roach,V Kohli,0,false,full outside off  and he drives to cover  but Samuels dives to his right to intercept,non-home run,no wicket,no wicket,no extra,138.840
1,9.6,KAJ Roach,V Kohli,1,false,full on of  and he nudges this to the leg side. Chipped to midwicket,non-home run,no wicket,no wicket,no extra,136.365
1,10.1,AR Nurse,V Kohli,1,false,hangs back to whip the short delivery to the right of deep midwicket  that placement allows the extra run. Although  Kohli doesn't put his bat behind the crease as he completed the first run  so it's one-short,non-home run,no wicket,no wicket,no extra,91.354
1,10.2,AR Nurse,V Kohli,1,false,a neat little nudge off the front foot to midwicket  soft hands allowing the single even though the man is up on the circle,non-home run,no wicket,no wicket,no extra,91.113
1,10.3,AR Nurse,AT Rayudu,0,false,lines it up outside the off stump and so the new batsman is worried about the turn. Tentative block  from deep in the crease,non-home run,no wicket,no wicket,no extra,88.311
1,10.4,AR Nurse,AT Rayudu,0,false,gets forward to push a flighted delivery outside off back to the bowler,non-home run,no wicket,no wicket,no extra,80.861
